theme,name,confirmed,definition,unit,type,tsuga_metric_name,widget_suggestions,aggregation,post_function,group_by,required_context_fields,optional_context_fields,absence_means,cardinality_footguns,variants,citations
Errors/Failures,cluster.<name>.upstream_cx_connect_fail,true,Upstream connection attempts that failed,{failure},counter,envoy_cluster_upstream_cx_connect_fail,query-value|timeseries,sum,per-second,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,No connect failures observed,Safe,stat=cluster.<name>.upstream_cx_connect_fail|prom=envoy_cluster_upstream_cx_connect_fail,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Errors/Failures,cluster.<name>.upstream_cx_connect_timeout,true,Upstream connection attempts timing out,{timeout},counter,envoy_cluster_upstream_cx_connect_timeout,query-value|timeseries,sum,per-second,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,No connect timeouts observed,Safe,stat=cluster.<name>.upstream_cx_connect_timeout|prom=envoy_cluster_upstream_cx_connect_timeout,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Throughput/Usage,cluster.<name>.upstream_rq_total,true,Total upstream requests forwarded by cluster,{request},counter,envoy_cluster_upstream_rq_total,query-value|timeseries|top-list,sum,per-second,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,No upstream request traffic or missing cluster stats,cluster cardinality can spike with dynamic routing,stat=cluster.<name>.upstream_rq_total|prom=envoy_cluster_upstream_rq_total,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Errors/Failures,cluster.<name>.upstream_rq_2xx,false,Legacy per-class upstream request metric not present in this Tsuga shape,{request},counter,envoy_cluster_upstream_rq_2xx,timeseries|query-value,sum,per-second,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,Use envoy_cluster_upstream_rq_xx filtered by response class 2xx,Safe,legacy=envoy_cluster_upstream_rq_2xx|replacement=envoy_cluster_upstream_rq_xx,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Errors/Failures,cluster.<name>.upstream_rq_4xx,false,Legacy per-class upstream request metric not present in this Tsuga shape,{request},counter,envoy_cluster_upstream_rq_4xx,timeseries|query-value,sum,per-second,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,Use envoy_cluster_upstream_rq_xx filtered by response class 4xx,Safe,legacy=envoy_cluster_upstream_rq_4xx|replacement=envoy_cluster_upstream_rq_xx,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Errors/Failures,cluster.<name>.upstream_rq_5xx,false,Legacy per-class upstream request metric not present in this Tsuga shape,{request},counter,envoy_cluster_upstream_rq_5xx,timeseries|query-value,sum,per-second,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,Use envoy_cluster_upstream_rq_xx filtered by response class 5xx,Safe,legacy=envoy_cluster_upstream_rq_5xx|replacement=envoy_cluster_upstream_rq_xx,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Errors/Failures,cluster.<name>.upstream_rq_xx,true,Upstream request count by response code class via context.envoy_response_code_class,{request},counter,envoy_cluster_upstream_rq_xx,timeseries|query-value|top-list,sum,per-second,context.envoy_cluster_name:20|context.envoy_response_code_class:5,context.env|context.team,context.envoy_cluster_name|context.envoy_response_code_class|context.service.name,Response class tag missing or metric path unavailable,response class split requires filter handling not separate metrics,replacement_for=*_2xx|*_4xx|*_5xx,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Errors/Failures,cluster.<name>.upstream_rq_timeout,true,Upstream requests timing out,{timeout},counter,envoy_cluster_upstream_rq_timeout,query-value|timeseries,sum,per-second,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,No timeout failures observed,Safe,stat=cluster.<name>.upstream_rq_timeout,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Errors/Failures,cluster.<name>.upstream_rq_pending_overflow,true,Requests dropped due to pending queue overflow,{overflow},counter,envoy_cluster_upstream_rq_pending_overflow,query-value|timeseries,sum,per-second,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,No pending overflow events,Safe,stat=cluster.<name>.upstream_rq_pending_overflow,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Errors/Failures,cluster.<name>.upstream_rq_retry,true,Requests retried by Envoy policy,{retry},counter,envoy_cluster_upstream_rq_retry,query-value|timeseries|top-list,sum,per-second,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,Retry policy disabled or no retry events,Safe,stat=cluster.<name>.upstream_rq_retry,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Errors/Failures,cluster.<name>.upstream_rq_retry_success,true,Retried upstream requests that eventually succeeded,{retry},counter,envoy_cluster_upstream_rq_retry_success,timeseries|top-list,sum,per-second,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,No successful retries observed,Safe,stat=cluster.<name>.upstream_rq_retry_success,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Errors/Failures,cluster.<name>.upstream_rq_per_try_timeout,true,Per-try timeout occurrences during retried requests,{timeout},counter,envoy_cluster_upstream_rq_per_try_timeout,timeseries|top-list,sum,per-second,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,No per-try timeout events,Safe,stat=cluster.<name>.upstream_rq_per_try_timeout,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Performance/Latency,cluster.<name>.upstream_rq_time_sum,false,Histogram sum-style companion metric not present in this Tsuga shape,ms,counter,envoy_cluster_upstream_rq_time_sum,timeseries|formula,sum,per-second,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,Use envoy_cluster_upstream_rq_time histogram directly,Safe,legacy=sum_component|replacement=envoy_cluster_upstream_rq_time,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Performance/Latency,cluster.<name>.upstream_rq_time_count,false,Histogram count-style companion metric not present in this Tsuga shape,{request},counter,envoy_cluster_upstream_rq_time_count,timeseries|formula,sum,per-second,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,Use envoy_cluster_upstream_rq_time histogram directly,Safe,legacy=count_component|replacement=envoy_cluster_upstream_rq_time,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Performance/Latency,cluster.<name>.upstream_rq_time,true,Upstream request duration histogram for latency analysis,ms,histogram,envoy_cluster_upstream_rq_time,query-value|timeseries|top-list,average,none,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,Latency histogram not exported in pipeline,histogram support and percentile behavior must be validated in dashboard builder,replacement_for=*time_sum|*time_count,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Performance/Latency,cluster.<name>.upstream_cx_connect_ms,true,Upstream connection establishment duration histogram,ms,histogram,envoy_cluster_upstream_cx_connect_ms,timeseries|top-list,average,none,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,Connect latency histogram not exported in pipeline,cluster cardinality can spike with dynamic routing,stat=cluster.<name>.upstream_cx_connect_ms|prom=envoy_cluster_upstream_cx_connect_ms,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Availability/Health,cluster.<name>.membership_healthy,true,Healthy hosts in upstream cluster,{host},gauge,envoy_cluster_membership_healthy,query-value|timeseries,max,none,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,Host health telemetry unavailable,Safe,stat=cluster.<name>.membership_healthy,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Availability/Health,cluster.<name>.membership_total,true,Total hosts in upstream cluster including unhealthy,{host},gauge,envoy_cluster_membership_total,query-value|timeseries,max,none,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,Cluster membership telemetry unavailable,Safe,stat=cluster.<name>.membership_total,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Availability/Health,cluster.<name>.membership_degraded,true,Hosts marked degraded in upstream cluster,{host},gauge,envoy_cluster_membership_degraded,query-value|timeseries,max,none,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,No degraded members or feature not active,Safe,stat=cluster.<name>.membership_degraded,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Capacity/Saturation,cluster.<name>.circuit_breakers.default.cx_open,true,Circuit breaker open state for connection limit,1,gauge,envoy_cluster_circuit_breakers_default_cx_open,query-value|timeseries,max,none,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,Circuit breaker telemetry missing or feature disabled,Safe,stat=cluster.<name>.circuit_breakers.default.cx_open,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_circuit_breakers
Capacity/Saturation,cluster.<name>.circuit_breakers.default.rq_open,true,Circuit breaker open state for request limit,1,gauge,envoy_cluster_circuit_breakers_default_rq_open,query-value|timeseries,max,none,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,Circuit breaker telemetry missing or feature disabled,Safe,stat=cluster.<name>.circuit_breakers.default.rq_open,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_circuit_breakers
Capacity/Saturation,cluster.<name>.circuit_breakers.default.rq_pending_open,true,Circuit breaker pending request queue open state,1,gauge,envoy_cluster_circuit_breakers_default_rq_pending_open,query-value|timeseries,max,none,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,Pending breaker signal not emitted in all deployments,Safe,stat=cluster.<name>.circuit_breakers.default.rq_pending_open,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_circuit_breakers
Capacity/Saturation,cluster.<name>.circuit_breakers.default.rq_retry_open,true,Circuit breaker retry budget open state,1,gauge,envoy_cluster_circuit_breakers_default_rq_retry_open,query-value|timeseries,max,none,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,Retry breaker signal not emitted in all deployments,Safe,stat=cluster.<name>.circuit_breakers.default.rq_retry_open,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_circuit_breakers
Capacity/Saturation,cluster.<name>.upstream_rq_active,true,Current active upstream requests,{request},gauge,envoy_cluster_upstream_rq_active,query-value|timeseries,max,none,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,No active upstream requests at sample time,Safe,stat=cluster.<name>.upstream_rq_active,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Capacity/Saturation,cluster.<name>.upstream_rq_pending_total,true,Total pending upstream requests queue depth events,{request},counter,envoy_cluster_upstream_rq_pending_total,timeseries|top-list,sum,per-second,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,No pending request pressure observed,Safe,stat=cluster.<name>.upstream_rq_pending_total,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Capacity/Saturation,cluster.<name>.upstream_cx_pool_overflow,true,Upstream connection pool overflow events,{overflow},counter,envoy_cluster_upstream_cx_pool_overflow,timeseries|top-list,sum,per-second,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,No connection pool overflow observed,Safe,stat=cluster.<name>.upstream_cx_pool_overflow,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Throughput/Usage,http.<prefix>.downstream_rq_total,true,Total downstream HTTP requests handled by HCM,{request},counter,envoy_http_downstream_rq_total,query-value|timeseries|top-list,sum,per-second,context.envoy_http_conn_manager_prefix:10|context.service.name:20,context.env|context.team,context.envoy_http_conn_manager_prefix|context.service.name,HCM stats absent or non HTTP path,http prefix cardinality can rise with dynamic config,stat=http.<prefix>.downstream_rq_total,https://www.envoyproxy.io/docs/envoy/latest/configuration/http/http_conn_man/stats
Capacity/Saturation,http.<prefix>.downstream_cx_active,true,Current active downstream HTTP connections by HCM,{connection},gauge,envoy_http_downstream_cx_active,query-value|timeseries,max,none,context.envoy_http_conn_manager_prefix:10|context.service.name:20,context.env|context.team,context.envoy_http_conn_manager_prefix|context.service.name,No active downstream HTTP connections or HCM stats absent,http conn manager prefix may be high cardinality in dynamic configs,stat=http.<prefix>.downstream_cx_active|prom=envoy_http_downstream_cx_active,https://www.envoyproxy.io/docs/envoy/latest/configuration/http/http_conn_man/stats
Throughput/Usage,http.<prefix>.downstream_cx_rx_bytes_total,true,Total bytes received on downstream HTTP connections,By,counter,envoy_http_downstream_cx_rx_bytes_total,timeseries|query-value,sum,per-second,context.envoy_http_conn_manager_prefix:10|context.service.name:20,context.env|context.team,context.envoy_http_conn_manager_prefix|context.service.name,No downstream traffic or HCM stats absent,http conn manager prefix may be high cardinality in dynamic configs,stat=http.<prefix>.downstream_cx_rx_bytes_total|prom=envoy_http_downstream_cx_rx_bytes_total,https://www.envoyproxy.io/docs/envoy/latest/configuration/http/http_conn_man/stats
Throughput/Usage,http.<prefix>.downstream_cx_tx_bytes_total,true,Total bytes transmitted on downstream HTTP connections,By,counter,envoy_http_downstream_cx_tx_bytes_total,timeseries|query-value,sum,per-second,context.envoy_http_conn_manager_prefix:10|context.service.name:20,context.env|context.team,context.envoy_http_conn_manager_prefix|context.service.name,No downstream traffic or HCM stats absent,http conn manager prefix may be high cardinality in dynamic configs,stat=http.<prefix>.downstream_cx_tx_bytes_total|prom=envoy_http_downstream_cx_tx_bytes_total,https://www.envoyproxy.io/docs/envoy/latest/configuration/http/http_conn_man/stats
Errors/Failures,http.<prefix>.downstream_rq_5xx,false,Legacy per-class downstream metric not present in this Tsuga shape,{request},counter,envoy_http_downstream_rq_5xx,timeseries|query-value,sum,per-second,context.envoy_http_conn_manager_prefix:10|context.service.name:20,context.env|context.team,context.envoy_http_conn_manager_prefix|context.service.name,Use envoy_http_downstream_rq_xx filtered by response class 5xx,Safe,legacy=envoy_http_downstream_rq_5xx|replacement=envoy_http_downstream_rq_xx,https://www.envoyproxy.io/docs/envoy/latest/configuration/http/http_conn_man/stats
Errors/Failures,http.<prefix>.downstream_rq_4xx,false,Legacy per-class downstream metric not present in this Tsuga shape,{request},counter,envoy_http_downstream_rq_4xx,timeseries|query-value,sum,per-second,context.envoy_http_conn_manager_prefix:10|context.service.name:20,context.env|context.team,context.envoy_http_conn_manager_prefix|context.service.name,Use envoy_http_downstream_rq_xx filtered by response class 4xx,Safe,legacy=envoy_http_downstream_rq_4xx|replacement=envoy_http_downstream_rq_xx,https://www.envoyproxy.io/docs/envoy/latest/configuration/http/http_conn_man/stats
Errors/Failures,http.<prefix>.downstream_rq_xx,true,Downstream HTTP requests by response code class via context.envoy_response_code_class,{request},counter,envoy_http_downstream_rq_xx,timeseries|query-value|top-list,sum,per-second,context.envoy_http_conn_manager_prefix:10|context.envoy_response_code_class:5,context.env|context.team,context.envoy_http_conn_manager_prefix|context.envoy_response_code_class|context.service.name,Response class split unavailable if tag dropped,class split requires filter handling not separate metric names,replacement_for=*downstream_rq_4xx|*downstream_rq_5xx,https://www.envoyproxy.io/docs/envoy/latest/configuration/http/http_conn_man/stats
Performance/Latency,http.<prefix>.downstream_rq_time,true,Downstream HTTP request duration histogram,ms,histogram,envoy_http_downstream_rq_time,timeseries|top-list,average,none,context.envoy_http_conn_manager_prefix:10|context.service.name:20,context.env|context.team,context.envoy_http_conn_manager_prefix|context.service.name,Histogram not exported or filtered out,histogram support in builder must be validated,stat=http.<prefix>.downstream_rq_time,https://www.envoyproxy.io/docs/envoy/latest/configuration/http/http_conn_man/stats
Cost,NOT_APPLICABLE,false,Envoy metrics do not include direct billing data and cost requires external cloud billing join,Unknown,Unknown,Unknown,query-value,average,none,,context.env|context.team,context.service.name,Cost analysis requires infrastructure billing datasets,Safe,proxy=memory|proxy=request_volume,https://www.envoyproxy.io/docs/envoy/latest/intro/arch_overview/observability/statistics
Capacity/Saturation,cluster.<name>.lb_healthy_panic,true,Load balancer panic mode where healthy host percentage dropped below panic threshold,1,counter,envoy_cluster_lb_healthy_panic,query-value|timeseries|top-list,sum,per-second,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,No panic events observed,Safe,stat=cluster.<name>.lb_healthy_panic,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Availability/Health,cluster.<name>.assignment_stale,true,Cluster assignment marked stale by control-plane update path,{event},counter,envoy_cluster_assignment_stale,query-value|timeseries|top-list,sum,per-second,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,No stale assignment events,Safe,stat=cluster.<name>.assignment_stale,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Availability/Health,cluster.<name>.assignment_timeout_received,true,Timed-out cluster assignment update events received,{timeout},counter,envoy_cluster_assignment_timeout_received,query-value|timeseries|top-list,sum,per-second,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,No assignment timeout events,Safe,stat=cluster.<name>.assignment_timeout_received,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Errors/Failures,cluster.<name>.upstream_rq_retry_limit_exceeded,true,Upstream requests where retry limit was exceeded,{retry},counter,envoy_cluster_upstream_rq_retry_limit_exceeded,query-value|timeseries|top-list,sum,per-second,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,No retry limit exceeded events,Safe,stat=cluster.<name>.upstream_rq_retry_limit_exceeded,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Errors/Failures,cluster.<name>.upstream_rq_retry_overflow,true,Retry attempts dropped due to overflow conditions,{overflow},counter,envoy_cluster_upstream_rq_retry_overflow,query-value|timeseries|top-list,sum,per-second,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,No retry overflow events,Safe,stat=cluster.<name>.upstream_rq_retry_overflow,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Errors/Failures,cluster.<name>.upstream_rq_retry_backoff_ratelimited,true,Retries rate-limited by backoff policy,{event},counter,envoy_cluster_upstream_rq_retry_backoff_ratelimited,query-value|timeseries|top-list,sum,per-second,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,No retry backoff rate-limit events,Safe,stat=cluster.<name>.upstream_rq_retry_backoff_ratelimited,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Latency/Performance,cluster.<name>.upstream_cx_connect_attempts_exceeded,true,Connection attempt limit exceeded before successful upstream connection,{event},counter,envoy_cluster_upstream_cx_connect_attempts_exceeded,query-value|timeseries|top-list,sum,per-second,context.envoy_cluster_name:20|context.service.name:20,context.env|context.team,context.envoy_cluster_name|context.service.name,No connect-attempt exceed events,Safe,stat=cluster.<name>.upstream_cx_connect_attempts_exceeded,https://www.envoyproxy.io/docs/envoy/latest/configuration/upstream/cluster_manager/cluster_stats
Errors/Failures,http.<prefix>.downstream_rq_idle_timeout,true,Downstream requests terminated due to idle timeout,{timeout},counter,envoy_http_downstream_rq_idle_timeout,query-value|timeseries|top-list,sum,per-second,context.envoy_http_conn_manager_prefix:10|context.service.name:20,context.env|context.team,context.envoy_http_conn_manager_prefix|context.service.name,No downstream idle timeout events,http conn manager prefix may be high cardinality in dynamic configs,stat=http.<prefix>.downstream_rq_idle_timeout,https://www.envoyproxy.io/docs/envoy/latest/configuration/http/http_conn_man/stats
Errors/Failures,http.<prefix>.downstream_rq_header_timeout,true,Downstream requests timed out waiting for headers,{timeout},counter,envoy_http_downstream_rq_header_timeout,query-value|timeseries|top-list,sum,per-second,context.envoy_http_conn_manager_prefix:10|context.service.name:20,context.env|context.team,context.envoy_http_conn_manager_prefix|context.service.name,No downstream header timeout events,http conn manager prefix may be high cardinality in dynamic configs,stat=http.<prefix>.downstream_rq_header_timeout,https://www.envoyproxy.io/docs/envoy/latest/configuration/http/http_conn_man/stats
Errors/Failures,http.<prefix>.downstream_rq_timeout,true,Downstream requests timed out after upstream attempt,{timeout},counter,envoy_http_downstream_rq_timeout,query-value|timeseries|top-list,sum,per-second,context.envoy_http_conn_manager_prefix:10|context.service.name:20,context.env|context.team,context.envoy_http_conn_manager_prefix|context.service.name,No downstream timeout events,http conn manager prefix may be high cardinality in dynamic configs,stat=http.<prefix>.downstream_rq_timeout,https://www.envoyproxy.io/docs/envoy/latest/configuration/http/http_conn_man/stats
Errors/Failures,http.<prefix>.downstream_rq_rx_reset,true,Downstream requests reset on receive path,{reset},counter,envoy_http_downstream_rq_rx_reset,query-value|timeseries|top-list,sum,per-second,context.envoy_http_conn_manager_prefix:10|context.service.name:20,context.env|context.team,context.envoy_http_conn_manager_prefix|context.service.name,No downstream request resets observed,http conn manager prefix may be high cardinality in dynamic configs,stat=http.<prefix>.downstream_rq_rx_reset,https://www.envoyproxy.io/docs/envoy/latest/configuration/http/http_conn_man/stats
Errors/Failures,http.<prefix>.downstream_rq_tx_reset,true,Downstream requests reset on transmit path,{reset},counter,envoy_http_downstream_rq_tx_reset,query-value|timeseries|top-list,sum,per-second,context.envoy_http_conn_manager_prefix:10|context.service.name:20,context.env|context.team,context.envoy_http_conn_manager_prefix|context.service.name,No downstream request resets observed,http conn manager prefix may be high cardinality in dynamic configs,stat=http.<prefix>.downstream_rq_tx_reset,https://www.envoyproxy.io/docs/envoy/latest/configuration/http/http_conn_man/stats
Resource Utilization,runtime.load_error,true,Runtime configuration load errors,{event},counter,envoy_runtime_load_error,query-value|timeseries|top-list,sum,per-second,context.service.name:20|context.scope:20,context.env|context.team,context.service.name|context.scope,No runtime load error events observed,Safe,stat=runtime.load_error,https://www.envoyproxy.io/docs/envoy/latest/configuration/operations/runtime
